Frame Number	z
1	150
2	160
3	170
4	180
5	190
6	200
7	210
8	220
9	230
10	240
11	250
12	260
13	270
14	280
15	290
16	100
17	110
18	120
19	130
20	140
21	150
22	160
23	170
24	180
25	190
26	200
27	210
28	220
29	230
30	240
31	250
32	260
33	270
34	280
35	290
36	100
37	110
38	120
39	130
40	140
41	150
42	160
43	170
44	180
45	190
46	200
47	210
48	220
49	230
50	240
51	250
52	260
53	270
54	280
55	290
56	100
57	110
58	120
59	130
60	140
61	150
62	160
63	170
64	180
65	190
66	200
67	210
68	220
69	230
70	240
71	250
72	260
73	270
74	280
75	290
76	100
77	110
78	120
79	130
80	140
81	150
82	160
83	170
84	180
85	190
86	200
87	210
88	220
89	230
90	240
91	250
92	260
93	270
94	280
95	290
96	100
97	110
98	120
99	130
100	140
101	150
102	160
103	170
104	180
105	190
106	200
107	210
108	220
109	230
110	240
111	250
112	260
113	270
114	280
115	290
116	100
117	110
118	120
119	130
120	140
121	150
122	160
123	170
124	180
125	190
126	200
127	210
128	220
129	230
130	240
131	250
132	260
133	270
134	280
135	290
136	100
137	110
138	120
139	130
140	140
141	150
142	160
143	170
144	180
145	190
146	200
147	210
148	220
149	230
150	240
151	250
152	260
153	270
154	280
155	290
156	100
157	110
158	120
159	130
160	140
161	150
162	160
163	170
164	180
165	190
166	200
167	210
168	220
169	230
170	240
171	250
172	260
173	270
174	280
175	290
176	100
177	110
178	120
179	130
180	140
181	150
182	160
183	170
184	180
185	190
186	200
187	210
188	220
189	230
190	240
191	250
192	260
193	270
194	280
195	290
196	100
197	110
198	120
199	130
200	140
201	150
202	160
203	170
204	180
205	190
206	200
207	210
208	220
209	230
210	240
211	250
212	260
213	270
214	280
215	290
216	100
217	110
218	120
219	130
220	140
221	150
222	160
223	170
224	180
225	190
226	200
227	210
228	220
229	230
230	240
231	250
232	260
233	270
234	280
235	290
236	100
237	110
238	120
239	130
240	140
241	150
242	160
243	170
244	180
245	190
246	200
247	210
248	220
249	230
250	240
251	250
252	260
253	270
254	280
255	290
256	100
257	110
258	120
259	130
260	140
261	150
262	160
263	170
264	180
265	190
266	200
267	210
268	220
269	230
270	240
271	250
272	260
273	270
274	280
275	290
276	100
277	110
278	120
279	130
280	140
281	150
282	160
283	170
284	180
285	190
286	200
287	210
288	220
289	230
290	240
291	250
292	260
293	270
294	280
295	290
296	100
297	110
298	120
299	130
300	140
301	150
302	160
303	170
304	180
305	190
306	200
